Date,Bi,Di,Ri,As,Tamb,W10,EPV
2005-01-01,244.81799999999998,248.958,3.689000000000001,29.030000000000005,22.119583333333335,2.0687499999999996,43941.44
2005-01-02,504.57699999999994,167.594,4.5889999999999995,29.081818181818186,22.622083333333336,1.930416666666667,58558.59
2005-01-03,499.092,171.21,4.581,32.024,23.579166666666666,2.1391666666666667,58267.67
2005-01-04,502.80699999999996,169.091,4.600999999999999,32.099,24.237083333333334,2.09625,58321.84999999999
2005-01-05,514.0310000000001,164.64500000000004,4.6389999999999985,32.178999999999995,24.44666666666667,2.0116666666666667,58217.73
2005-01-06,519.7819999999999,162.204,4.664,32.263999999999996,24.615833333333327,2.287083333333333,58917.17999999999
2005-01-07,508.87700000000007,167.70700000000005,4.644,32.352,24.21208333333334,2.0379166666666664,58426.86
2005-01-08,512.5600000000001,167.51000000000005,4.667,32.448,24.205,2.0949999999999998,58469.530000000006
2005-01-09,515.7080000000001,164.828,4.6850000000000005,32.54699999999999,23.804166666666664,2.0366666666666666,58368.159999999996
2005-01-10,506.73,170.406,4.6739999999999995,32.650999999999996,22.808333333333337,2.3825,59467.07
2005-01-11,503.238,173.858,4.678,32.76,22.439999999999998,1.7020833333333334,58463.3
2005-01-12,499.804,174.376,4.682,32.876000000000005,23.17458333333334,1.7554166666666668,57968.96
2005-01-13,502.392,173.574,4.700999999999999,32.995000000000005,23.20875,2.1270833333333337,58501.51
2005-01-14,317.84299999999996,238.795,4.107000000000001,33.117,23.763749999999998,1.7650000000000003,48076.01
2005-01-15,516.1859999999999,168.22400000000002,4.77,33.247,23.674583333333334,2.119166666666667,59004.24
2005-01-16,504.22200000000004,174.866,4.75,33.381,23.270833333333332,2.295,59046.97000000001
2005-01-17,515.8480000000001,170.87,4.799,30.484545454545454,22.603333333333335,2.3733333333333335,60361.67
2005-01-18,514.509,171.741,4.811000000000001,30.623636363636365,22.285416666666666,2.3925,60210.87000000001
2005-01-19,530.66,164.56,4.873,30.771818181818183,22.713749999999994,2.6420833333333333,61108.32000000001
2005-01-20,540.756,160.11100000000005,4.915,30.919999999999995,23.388333333333335,2.5604166666666672,61424.840000000004
2005-01-21,551.174,155.49200000000002,4.959000000000001,31.075454545454544,23.622500000000002,2.36875,61462.13
2005-01-22,535.653,165.253,4.942,31.230909090909094,23.309583333333332,2.1808333333333336,60883.890000000014
2005-01-23,541.4390000000001,163.289,4.974,31.39272727272727,23.190416666666668,2.09125,60883.479999999996
2005-01-24,598.727,131.528,5.14,31.559090909090912,23.234166666666663,1.846666666666667,62201.76
2005-01-25,623.6150000000001,118.29100000000001,5.220000000000001,31.729090909090903,23.202499999999997,2.072083333333333,64163.749999999985
2005-01-26,418.1829999999999,210.675,4.604000000000001,31.900000000000002,23.185416666666658,1.8162500000000001,54472.00000000001
2005-01-27,324.07899999999995,211.11999999999998,4.064,32.07545454545455,22.692916666666672,2.109166666666667,46455.76999999999
2005-01-28,540.8539999999999,143.902,4.952999999999999,32.25454545454546,22.165833333333328,1.9670833333333333,59474.340000000004
2005-01-29,624.667,121.43400000000001,5.309,32.43454545454546,22.034166666666668,2.2929166666666663,64928.579999999994
2005-01-30,576.6011111111111,162.079,4.963000000000001,32.61909090909091,21.456249999999997,2.014583333333334,59352.45999999999
2005-01-31,473.439,196.10699999999997,4.904,32.807272727272725,21.820416666666663,2.080833333333334,58605.37
2005-02-01,609.3729999999999,130.76000000000002,5.3309999999999995,32.99727272727272,23.412916666666664,2.4699999999999993,64123.84
2005-02-02,566.9454545454545,123.42999999999999,4.896363636363636,33.191818181818185,23.7375,2.27,63854.549999999996
2005-02-03,530.9054545454545,136.2190909090909,4.836363636363637,30.636666666666667,24.080416666666668,2.056666666666667,62583.61
2005-02-04,513.311818181818,147.18,4.811818181818182,30.8225,24.046249999999997,2.1325,62036.520000000004
2005-02-05,521.3990909090909,143.02272727272725,4.8545454545454545,31.013333333333332,24.467500000000005,1.9258333333333335,62044.88
2005-02-06,507.6963636363636,149.57999999999998,4.832727272727273,31.208333333333332,23.225833333333338,1.8741666666666665,62356.12
2005-02-07,490.7172727272727,162.07636363636362,4.8145454545454545,31.402500000000003,22.624166666666667,1.83,62314.57
2005-02-08,504.07636363636357,155.57,4.872727272727272,31.60166666666667,24.36125,1.779583333333333,61495.969999999994
2005-02-09,509.4754545454545,154.29181818181817,4.916363636363636,31.801666666666666,25.035833333333333,2.0275000000000003,62347.86
2005-02-10,531.6472727272727,142.52636363636364,5.000909090909092,32.00416666666667,24.92458333333334,2.4524999999999992,63869.59
2005-02-11,558.0909090909091,127.68181818181819,5.093636363636363,32.2075,24.90041666666667,1.8633333333333335,63524.48999999999
2005-02-12,547.8118181818182,134.66,5.089090909090909,32.413333333333334,25.21083333333333,1.929166666666667,63418.31000000001
2005-02-13,512.2772727272727,155.79727272727274,5.014545454545455,32.622499999999995,25.928749999999997,2.0808333333333335,62014.68
2005-02-14,511.99090909090916,156.44727272727275,5.04,32.83083333333333,25.907499999999995,2.389583333333333,62334.1
2005-02-15,502.9027272727272,162.43727272727273,5.035454545454545,33.045,24.252499999999994,2.2924999999999995,63215.090000000004
2005-02-16,560.2954545454545,127.37454545454544,5.212727272727273,33.25833333333333,24.344166666666666,2.2833333333333337,65360.56
2005-02-17,544.7790909090909,137.01818181818183,5.194545454545454,33.47166666666667,23.926250000000007,2.6141666666666667,65644.87999999999
2005-02-18,457.56,179.2481818181818,4.928181818181819,33.68833333333333,23.21375,2.9762500000000003,61881.54
